,tweet,label
0,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Akun oposisi Karni tua,netral
1,@AkuAtikaFaya @aniesbaswedan Nafsu banget pingin jd pres sedangkan mimpin JKT aja acakadul,kontra
2,@bumnbersatu @pengarang_sajak @aniesbaswedan @ganjarpranowo @jokowi yg jelas bukan @AgusYudhoyono kan yah om??? colek si gagap @panca66,netral
3,@Ajay78382117 @_MbakSri_ @EllyKoro @aniesbaswedan @Mdy_Asmara1701 @tatakujiyati,netral
4,@Radensetyaki_ @Valmet28 @AkuAtikaFaya @aniesbaswedan Ndak tauu....,netral
5,@bumnbersatu @aniesbaswedan @ganjarpranowo @jokowi Siapa Maksudnya Prabowo ya @bumnbersatu udah gak layak lagi Prabowo karena udah 3 kali gagal 🤣🤣🤣 lagian Bosan Prabowo terus @bumnbersatu 🤣🤣🤣,kontra
6,@ekowboy2 Salam hormat untukmu Pak @aniesbaswedan,pro
7,Salam hormat untukmu Pak @aniesbaswedan,pro
8,"@arungdunia @glorymorning25 @AkuAtikaFaya @aniesbaswedan Malang kota pelajar, sudah pasti banyak orang² pinter nya. Pasti paham mana yg suka bo'ong sama mana yg berprestasi..",kontra
9,"@6undul0h @sigitwid @psi_id @aniesbaswedan Pemilu 2024, partai situ bubar.. Lha yg kemaren aja nol koma😎",kontra
10,"@ariefrasyad @arief_rasyad Sdh ada yg mulai kampanye ni Pak @aniesbaswedan , apa bapak tau?",kontra
11,@sigitwid @psi_id @aniesbaswedan  https://t.co/nu9yFibDnC,netral
12,@ChusnulCh__ @aniesbaswedan  https://t.co/XmSnEUjnxK,netral
13,@ChusnulCh__ @ganjarpranowo Fakta Mas @aniesbaswedan Siap RI 1 2024  https://t.co/sIoqevZndY,netral
14,@patriot016610 @aniesbaswedan Pemimpin tai onta,kontra
15,@bumnbersatu @SoraBaltasar @aniesbaswedan @ganjarpranowo @jokowi Ehhh  ujug ujug ga disangka kaisar Puyi yg nongol...,kontra
16,Kalau Nasdem mengusung Anies cocok juga kalau di sandingkan sama Sahroni. @NasDem @aniesbaswedan  https://t.co/QTwCEZDmKT,pro
17,@purwantoraharjo @DonCarl13599235 @Mahesa99821523 @YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo @KPK_RI Tweet kyk kaset rusak kecebur got 😂😂 udah berhari-hari tweet nya gk berubah. Plis donk ah ...,kontra
18,@sigitwid @psi_id @aniesbaswedan apa yg di harapkan dr partai nol koma🤣🤣🤣🤣,kontra
19,Wali Kota Malang Geram Tabloid Anies Baswedan Disebar di Masjid  https://t.co/nzEquYPgLY,kontra
20,@YuliYullie13 @prabowo @aniesbaswedan @Gerindra 👍👍😁,netral
21,@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Uweeeeeeekkkkkkk  https://t.co/LYSZ2uuJwM,netral
22,"@rahmaniarbaftim @ferizandra @aniesbaswedan Insya allah, semoga saja",pro
23,@keepithink_crab @AkuAtikaFaya @aniesbaswedan Bener juga ya?!?!🤣🤣🤣,netral
24,@sigitwid @psi_id @aniesbaswedan Yang butuh PSI siapa? 🤣🤣 Partai gurem banyak tingkah,kontra
25,@aniesbaswedan @DKIJakarta @mrtjakarta pinggiran kali/waduk yg enak buat WFA udah ada blon ??,kontra
26,@dedimckinley @AetraJKT @DKIJakarta @aniesbaswedan Percuma ntar pun klo di eskalasi foto lama yg diup sbg TL dari laporan. Mpe bosen saya laporan terutama di jaki,kontra
27,@f_fathur @aniesbaswedan @ArdiRiau3 @S0BATANIES @anies_sobat @sobat_anies @PDemokrat @PKSejahtera @NasDem Pasti kaya lumpur lapindo yee,kontra
28,Insha allah pemimpin NKRI 2024-2029 @AgusYudhoyono @aniesbaswedan untuk #PerubahanDanPerbaikan   https://t.co/gXq0fzCBh4,pro
29,@sigitwid @psi_id @aniesbaswedan iya in  ajah .... 😬,kontra
30,"@YoutubeILC @aniesbaswedan @ganjarpranowo @prabowo Mau gak presiden nya Prabowo, wakil pak Anies ..  Atau sebaliknya?",netral
31,"@ChusnulCh__ @aniesbaswedan Ingat, jika tidak, tidak makan  https://t.co/LcZ1CDV0bh",kontra
32,"@sigitwid @psi_id @aniesbaswedan Knp ketua DPD PSI DKI JAKARTA memberi ""wacana"" positif buat Anies om 😁",pro
33,@mungatipawitane @MardaniAliSera @aniesbaswedan  https://t.co/yMmjvctaZB,netral
34,"@Valosenadya1 Dah tau lah dr kelompok mana yg ngomong begitu....dah g aneh and g ngefek apa2, anjing menggonggong kafilah tetap maju jalan...... @aniesbaswedan for RI 1- 2024",kontra
35,"Tak Dukung Anies Capres 2024, PSI Merasa Antikorupsi dan Antiintoleransi.#sigitwidodo #gracenatalie #AniesBaswedan #capres2024 #PemiluSerentak2024 #pemilu2024 #opsimediatv    https://t.co/cuLHBl5Uz7",kontra
36,@sigitwid @psi_id @aniesbaswedan Peesi kan partai anti islam,kontra
37,"@ferizandra @aniesbaswedan Semakin menguatkan, Insya Allah.",pro
38,@hartono_mulyadi @sigitwid @psi_id @aniesbaswedan Njir ngakak 🤣🤣🤣,kontra
39,"@AkuAtikaFaya @aniesbaswedan Politisasi agama masuk ke masjid menyebabkan umat terpecah belah. Mereka nggak mikir, bahwa pilihan masing2 org bisa berbeda-beda.",netral
40,@ArdiRiau3 @aniesbaswedan @S0BATANIES @anies_sobat @sobat_anies @PDemokrat @PKSejahtera @NasDem Blebek… blebek blebek.. kolam bergolak,kontra
41,"Mohon maaf bang @aniesbaswedan  betina ini  tdk bisa di percaya. Tolong jangan sampai ada duri Dalam daging. Betina ini tak punya prestasi apa2 cuma jualan nama besar GUSDUR doang, 11 12 dgn tk matiin mic",kontra
42,@ChusnulCh__ @aniesbaswedan Ga abis² mencari kesalahan orang lain.  https://t.co/C7FALqXwgg,kontra
43,@Hasbil_Lbs @AgusYudhoyono @aniesbaswedan Pas mantab 👍👍,pro
