,tweet,label
0,"Sampai saat ini tragedi kanjuruhan blm ada yg mengaku paling bertanggung jawab dlm peristiwa tsb, mungkin yg paling pantas dipersalahkan, BOLA, dan bola",netral
1,"""Duka kehilangan itu nggak akan pernah sembuh, jun. Kita cuma bisa menerima dan terus menerima kalau ia tidak akan pernah kembali""   Sekian dari banyak tutur abang kami sejak kejadian Semeru sampai tragedi Kanjuruhan. Dan memang benar, duka kehilangan itu akan terus melekat.",pro
2,"Mahfud MD Bicara Gas Air Mata Kedaluarsa Tragedi Kanjuruhan, Pengamat Cium Indikasi Korupsi  https://t.co/pelC79zL1a",kontra
3,Kematian Helen yang Menambah Duka Tragedi Kanjuruhan: Korban Jiwa 132 Orang  https://t.co/HMdgdOSS3B,pro
4,Lusa Kirim Laporan Tragedi Kanjuruhan ke Presiden  https://t.co/KIqX0e9gKA,kontra
5,Polresta Malang Kota Sambangi Korban Tragedi Kanjuruhan Alami Iritasi Mata  https://t.co/KcpArqn33M  https://t.co/Y9bL6yVFzX,pro
6,Machfud MD Sebut TGIPF akan Serahkan Hasil Investigasi Tragedi Kanjuruhan Kepada Presiden Jokowi pada Jumat 14/10  https://t.co/AJoW0IYERt,netral
7,"@detikcom Di luar tragedi Kanjuruhan, saya rasa kalau klub bisa mengedukasi supporter, pasti perannya sangat besar dalam memajukan kompetisi sepakbola di Indonesia yang sehat berbasis prestasi.",pro
8,"Sejumlah Polisi Malang Sujud Massal Mohon Maaf Tragedi Kanjuruhan, Mirip Etiket Dogeza di Jepang?  https://t.co/PrvOvPCCcg #TempoNasional",pro
9,"Gas air mata kedaluarsa dalam tragedi Kanjuruhan terus disorot, pengamat nilai ada indikasi korupsi hingga kandungannya diperiksa di Laboratorium. -    https://t.co/Sso6CRheuo",netral
10, https://t.co/9KrwxhyDJT  Ade Armando dipolisikan lantaran menyebut Aremania sok jagoan. Ucapan itu dilontarkan Ade dalam video terkait tragedi kerusuhan di Stadion Kanjuruhan.,pro
11,Ade Armando dipolisikan lantaran menyebut Aremania sok jagoan. Ucapan itu dilontarkan Ade dalam video terkait tragedi kerusuhan di Stadion Kanjuruhan.  https://t.co/YeCanhkDiC,pro
12,Ini Sosok Pengganti dan Harta Kekayaannya Kapolda Jawa Timur Pengganti Irjen Nico Afinta yang Dicopot Buntut Tragedi Kanjuruhan #Kanjuruhan #kanjuruhanberduka #kapoldajatim   https://t.co/KZud4B0sRl,pro
13,Dua Tersangka Tragedi Kanjuruhan Ketua Panpel Arema dan Security Officer Diperiksa 12 Jam  https://t.co/RqGJJKKXcp  https://t.co/KGLQTu7oKg,netral
14,"Gas Air Mata Sebab Tragedi Kanjuruhan, Said Didu Sebut Malaikat Maut   https://t.co/QkhlGYJd0O  https://t.co/VGvz1jsqbq",pro
15,Ade Armando dipolisikan terkait Tragedi Kanjuruhan   #Arema #AdeArmando #Kanjuruhan #popularitascom  https://t.co/s73tHQEiRp,pro
16,"11 HARI DALAM PERAWATAN. sebuah catatan buat teman teman penyintas tragedi kanjuruhan dan keluarga.  Ketika sampai dirumah pasien usahakan banyak di ajak ngobrol ,jangan biarkan sendirian. atur jadwal istirahatnya. bila ada yg besuk hindari obrolan kejadian .",netral
17,"Polisi dalam Tragedi Kanjuruhan: Sujud Minta Maaf di Malang, Pembelaan di Jakarta  https://t.co/latV28ibqk",pro
18,"Aamiin, Aamiin, aamiin ya Allah ya rabbal allamin... Usut tuntas tragedi Kanjuruhan",pro
19,Tersangka Tragedi Kanjuruhan Berdalih Ada Penambahan Tiket  https://t.co/3TaMZKvmVK,kontra
20,"Korban Meninggal dalam Tragedi Kanjuruhan Bertambah Satu, Total 132 Orang  https://t.co/4Uqm8BJriJ #TempoNasional",netral
21,@geloraco Ya Allah....... Pantesan.... Bny warga yg meninggal di Tragedi Kanjuruhan....😭😭😭,kontra
22,"@CNNIndonesia Kenapa Kasus Sambo &amp; Tragedi Kanjuruhan terjadi &amp; Tuhan Izinkan ? Karena selain penguasa &amp; Aparat yg Arogan,Rakyatnya pun memang sudah terpecah akibat fitnah yg sengaja disebarkan,demi kekuasaan agar tetap aman. Jika Kasus Sambo ibarat SP 1,&amp; Kanjuruhan SP2,bersiaplah tuk Bahagia",kontra
23,#TragediKanjuruhan  Sanksi FIFA Tahun 2015 Silam Tak Terulang Kembali   https://t.co/ul2pbbkxhq  #sepakbola #SanksiFIFA #Kanjuruhan #KanjuruhanStadium #rusuh #gasairmata #supporters #aremaniaberduka #UsutTuntasTragediKanjuruhan #UsutTuntas #Bola,pro
24,"Bukti Penting Tragedi Kanjuruhan Kini Dipegang Komnas HAM, Ada Video Kunci Berisi Penyebab Kericuhan    https://t.co/wLpDzY3F2x lewat @tribunnews",pro
25,Sekjen PSSI: Pemberhentian Kompetisi Tidak Termasuk Level Grassroot  https://t.co/bUg1odqvMp baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxRUMd1   #kompetisigrassroot #ligausiamuda #pssi #sekjenpssi #yunusnusi #tragedikanjuruhan,netral
26,"Polisi di Kota Malang sujud minta maaf terkait Tragedi Kanjuruhan. Namun, mereka juga membela diri di Jakarta.   https://t.co/a94JsABY6g",pro
27,"Tragedi Kanjuruhan: Pemerintah Indonesia Waspadai Sanksi FIFA, Memori 2015 Bakal Terulang?  https://t.co/G9YICatyns",netral
28,"Imbas Tragedi Kanjuruhan, Piala Dunia U20 Tahun 2023 Batal Digelar di Indonesia?  https://t.co/X5xkSjOCeN",netral
29,Ade Armando dipolisikan lantaran menyebut Aremania sok jagoan. Ucapan itu dilontarkan Ade dalam video terkait tragedi kerusuhan di Stadion Kanjuruhan.  https://t.co/vf7KZ1LQoN,kontra
30,Komnas HAM Klaim Punya Video Kunci Awal Mula dari Tragedi Kanjuruhan  https://t.co/4twheiOnmf,netral
31,@detikcom Pengakuan Iwan Londo sebelum tragedi Kanjuruhan. Jelas ya karna cuan.  https://t.co/k4x1OrNQX0,pro
32,Tragedi Kanjuruhan: Indosiar Bantah Ada Kepentingan Iklan Rokok di Pertandingan Arema Vs Persebaya Malam Hari  https://t.co/WC4lp9937L,kontra
33,"Korban Meninggal Tragedi Kanjuruhan Bertambah, Polri: Jumlah Total 132 Orang  https://t.co/jzCe9xI7RI",netral
34,"Polisi dalam Tragedi Kanjuruhan: Sujud Minta Maaf di Malang, Pembelaan di Jakarta  https://t.co/VuWnGcRJxP",pro
35,"Diperiksa 12 Jam, 2 Tersangka Tragedi Kanjuruhan Tak Ditahan, Ada Apa?  https://t.co/BkwPbHX3CB",kontra
36,"Korban Meninggal Tragedi Kanjuruhan Bertambah, Total 132 Orang  https://t.co/M1BLElBRK8",netral
37,"@rskuntowiyoga Dalam Tragedi Kanjuruhan, FIFA datang layaknya ""penyelamat"". Jadi penasaran aja apakah mereka sudah bersih2 setelah Sepp Blater ga disana.",kontra
38,"Polresta Malang Gelar Sujud Massal atas Tragedi Kanjuruhan, Warganet Penasaran Tak sejak Awal Permintaan Maaf Dilakukan  https://t.co/yb7KbyZjJB",pro
39,Korban Meninggal dalam Tragedi Kanjuruhan Bertambah Satu Orang Total 132 Orang  https://t.co/VDb3q3zI70  https://t.co/1IFtO9UY57,netral
40,Korban Meninggal dalam Tragedi Kanjuruhan Bertambah Satu Orang Total 132 Orang  https://t.co/dpBYAq57Au #TempoNasional,netral
